0.175	88	98
0.1745	88.5	98.5
0.174	89	99.5
0.1735	89.5	100
0.173	90.5	100.5
0.1725	91	101
0.172	91.5	102
0.1715	92	102.5
0.171	92.5	103
0.1705	93.5	104
0.17	94	104.5
0.1695	94.5	105
0.169	95	105.5
0.1685	96	106.5
0.168	96.5	107
0.1675	97	108
0.167	97.5	108.5
0.1665	98.5	109
0.166	99	110
0.1655	99.5	110.5
0.165	100.5	111.5
0.1645	101	112
0.164	102	113
0.1635	102.5	113.5
0.163	103	114.5
0.1625	104	115
0.162	104.5	116
0.1615	105.5	116.5
0.161	106	117.5
0.1605	107	118.5
0.16	107.5	119
0.1595	108.5	120
0.159	109	120.5
0.1585	110	121.5
0.158	110.5	122.5
0.1575	111.5	123
0.157	112	124
0.1565	113	125
0.156	114	126
0.1555	114.5	126.5
0.155	115.5	127.5
0.1545	116	128.5
0.154	117	129.5
0.1535	118	130.5
0.153	119	131
0.1525	119.5	132
0.152	120.5	133
0.1515	121.5	134
0.151	122.5	135
0.1505	123	136
0.15	124	137
0.1495	125	138
0.149	126	139
0.1485	127	140
0.148	128	141
0.1475	129	142
0.147	130	143
0.1465	131	144
0.146	132	145
0.1455	133	146.5
0.145	134	147.5
0.1445	135	148.5
0.144	136	149.5
0.1435	137	150.5
0.143	138	152
0.1425	139	153
0.142	140	154
0.1415	141.5	155.5
0.141	142.5	156.5
0.135	157	172
0.1345	158	173.5
0.134	159.5	175
0.1335	160.5	176
0.133	162	177.5
0.1325	163.5	179
0.132	164.5	180.5
0.1315	166	182
0.131	167.5	183.5
0.1305	169	185
0.13	170	186.5
0.1295	171.5	188
0.129	173	189.5
0.1285	174.5	191
0.128	176	193
0.1275	177.5	194.5
0.127	179	196
0.1265	180.5	197.5
0.126	182	199.5
0.1255	183.5	201
0.125	185	202.5
0.1245	187	204.5
0.124	188.5	206
0.1235	190	208
0.123	191.5	209.5
0.1225	193.5	211.5
0.122	195	213
0.1215	196.5	215
0.121	198.5	217
0.1205	200	218.5
0.12	202	220.5
0.1195	203.5	222.5
0.119	205.5	224.5
0.1185	207	226
0.118	209	228
0.1175	210.5	230
0.117	212.5	232
0.1165	214.5	234
0.116	216	236
0.1155	218	238
0.115	220	240
0.1145	222	242
0.114	224	244
0.1135	226	246
0.113	228	248
0.1125	229.5	250.5
0.112	231.5	252.5
0.1115	233.5	254.5
0.111	235.5	256.5
0.1105	237.5	258.5
0.11	240	261
0.1095	242	263
0.109	244	265
0.1085	246	267
0.108	248	269
0.1075	250	271.5
0.107	252	273.5
0.1065	254	275.5
0.106	256.5	277.5
0.1055	258.5	280
0.105	260.5	282
0.1045	262.5	284
0.104	264.5	286
0.1035	267	288
0.103	269	290
0.1025	271	292
0.102	273	294
0.1015	275.5	296
0.101	277.5	298
0.1005	279.5	300
0.1	281.5	302
0.0995	283.5	304
0.099	286	305.5
0.0985	288	307.5
0.098	290	309.5
0.0975	292	311
0.097	294	313
0.0965	296	314.5
0.096	298	316.5
0.0955	300	318
0.095	302	319.5
0.0945	304	321.5
0.094	306	323
0.0935	308	324.5
0.093	310	326
0.0925	312	327.5
0.092	314	329
0.0915	315.5	330.5
0.091	317.5	332
0.0905	319.5	333.5
0.09	321.5	335
